Order_Date,Category,Quantity,Total_Sales
,Computer Case,1.0,8515.0
,Mouse,4.0,39780.0
,Cabinet,3.0,4485.0
,Keyboard,1.0,1105.0
,Mouse,3.0,2535.0
,Monitor,1.0,9750.0
,HDD,4.0,52000.0
,SSD,1.0,13650.0
,CPU,4.0,44200.0
,Graphic Card,4.0,36400.0
,Computer Case,1.0,2184.0
,Mouse,1.0,8502.0
,Cabinet,4.0,13936.0
,Monitor,4.0,42900.0
,RAM,4.0,13780.0
,Monitor,1.0,16315.0
,CPU,1.0,18850.0
,Keyboard,2.0,2080.0
,Mouse,1.0,780.0
,Monitor,2.0,27300.0
,HDD,1.0,8450.0
,SSD,1.0,5850.0
,CPU,3.0,33150.0
,Graphic Card,3.0,48750.0
,NIC,3.0,13650.0
,Printer,2.0,11700.0
,Cabinet,2.0,5460.0
,Keyboard,4.0,5980.0
,Mouse,3.0,1365.0
,Monitor,3.0,37050.0
,HDD,4.0,52000.0
,SSD,2.0,16900.0
,CPU,4.0,44200.0
,Graphic Card,4.0,36400.0
,NIC,1.0,8515.0
,Printer,1.0,9945.0
,Cabinet,3.0,4485.0
,Keyboard,3.0,3315.0
,Mouse,1.0,845.0
,Monitor,3.0,29250.0
,HDD,4.0,52000.0
,SSD,2.0,27300.0
,CPU,3.0,33150.0
,Graphic Card,4.0,36400.0
,NIC,4.0,8736.0
,Printer,3.0,25506.0
,Cabinet,3.0,10452.0
,Monitor,4.0,42900.0
,RAM,2.0,6890.0
,Monitor,2.0,32630.0
,CPU,2.0,37700.0
,Keyboard,4.0,4160.0
,Mouse,3.0,2340.0
,Monitor,1.0,13650.0
,HDD,4.0,33800.0
,SSD,1.0,5850.0
,CPU,2.0,22100.0
,Graphic Card,3.0,48750.0
,RAM,2.0,9100.0
,Motherboard,3.0,17550.0
,Cabinet,3.0,8190.0
,Keyboard,4.0,5980.0
,Mouse,3.0,1365.0
,Monitor,1.0,12350.0
,HDD,1.0,13000.0
,SSD,1.0,8450.0
,CPU,2.0,22100.0
,Graphic Card,4.0,36400.0
,RAM,1.0,8515.0
,Motherboard,1.0,9945.0
,Cabinet,1.0,1495.0
,Keyboard,2.0,2210.0
,Mouse,3.0,2535.0
,Monitor,4.0,39000.0
,HDD,2.0,26000.0
,SSD,4.0,54600.0
,CPU,4.0,44200.0
,Graphic Card,3.0,27300.0
,RAM,4.0,8736.0
,Motherboard,1.0,8502.0
,Cabinet,4.0,13936.0
,Monitor,4.0,42900.0
,RAM,4.0,13780.0
,Monitor,4.0,65260.0
,CPU,2.0,37700.0
,Keyboard,2.0,2080.0
,Mouse,4.0,3120.0
,Monitor,2.0,27300.0
,HDD,3.0,25350.0
,SSD,3.0,17550.0
,CPU,3.0,33150.0
,Graphic Card,1.0,16250.0
,Computer Case,4.0,18200.0
,Mouse,4.0,23400.0
,Cabinet,2.0,5460.0
,Keyboard,4.0,5980.0
,Mouse,1.0,455.0
,Monitor,2.0,24700.0
,HDD,4.0,52000.0
,SSD,3.0,25350.0
,CPU,1.0,11050.0
,Graphic Card,4.0,36400.0
,Computer Case,2.0,17030.0
,Mouse,2.0,19890.0
,Cabinet,4.0,5980.0
,Keyboard,4.0,4420.0
,Mouse,1.0,845.0
,Monitor,2.0,19500.0
,HDD,2.0,26000.0
,SSD,4.0,54600.0
,CPU,3.0,33150.0
,Graphic Card,4.0,36400.0
,Computer Case,4.0,8736.0
,Mouse,3.0,25506.0
,Cabinet,1.0,3484.0
,Monitor,3.0,32175.0
,RAM,1.0,3445.0
,Monitor,3.0,48945.0
,CPU,2.0,37700.0
,Keyboard,3.0,3120.0
,Mouse,4.0,3120.0
,Monitor,1.0,13650.0
,HDD,3.0,25350.0
,SSD,3.0,17550.0
,CPU,3.0,33150.0
,Graphic Card,3.0,48750.0
,NIC,2.0,9100.0
,Printer,3.0,17550.0
,Cabinet,3.0,8190.0
,Keyboard,4.0,5980.0
,Mouse,3.0,1365.0
,Monitor,4.0,49400.0
,HDD,1.0,13000.0
,SSD,4.0,33800.0
,CPU,2.0,22100.0
,Graphic Card,1.0,9100.0
,NIC,3.0,25545.0
,Printer,1.0,9945.0
,Cabinet,3.0,4485.0
,Keyboard,4.0,4420.0
,Mouse,4.0,3380.0
,Monitor,2.0,19500.0
,HDD,1.0,13000.0
,SSD,1.0,13650.0
,CPU,4.0,44200.0
,Graphic Card,2.0,18200.0
,NIC,1.0,2184.0
,Printer,3.0,25506.0
,Cabinet,1.0,3484.0
,Monitor,4.0,42900.0
,RAM,3.0,10335.0
,Monitor,1.0,16315.0
,CPU,1.0,18850.0
,Keyboard,1.0,1040.0
,Mouse,1.0,780.0
,Monitor,1.0,13650.0
,HDD,3.0,25350.0
,SSD,4.0,23400.0
,CPU,1.0,11050.0
,Graphic Card,4.0,65000.0
,RAM,3.0,13650.0
,Motherboard,1.0,5850.0
,Cabinet,1.0,2730.0
,Keyboard,3.0,4485.0
,Mouse,1.0,455.0
,Monitor,1.0,12350.0
,HDD,2.0,26000.0
,SSD,1.0,8450.0
,CPU,1.0,11050.0
,Graphic Card,3.0,27300.0
,RAM,3.0,25545.0
,Motherboard,3.0,29835.0
,Cabinet,4.0,5980.0
,Keyboard,3.0,3315.0
,Mouse,4.0,3380.0
,Monitor,1.0,9750.0
,HDD,4.0,52000.0
,SSD,3.0,40950.0
,CPU,3.0,33150.0
,Graphic Card,4.0,36400.0
,RAM,1.0,2184.0
,Motherboard,4.0,34008.0
,Cabinet,4.0,13936.0
,Monitor,2.0,21450.0
,RAM,3.0,10335.0
,Monitor,4.0,65260.0
,CPU,3.0,56550.0
,Keyboard,1.0,1040.0
,Mouse,4.0,3120.0
,Monitor,2.0,27300.0
,HDD,2.0,16900.0
,SSD,1.0,5850.0
,CPU,2.0,22100.0
,Graphic Card,2.0,32500.0
,Computer Case,4.0,18200.0
,Mouse,2.0,11700.0
,Cabinet,3.0,8190.0
,Keyboard,3.0,4485.0
,Mouse,1.0,455.0
,Monitor,3.0,37050.0
,HDD,4.0,52000.0
,SSD,4.0,33800.0
,CPU,3.0,33150.0
,Graphic Card,1.0,9100.0
,Computer Case,4.0,34060.0
,Mouse,3.0,29835.0
,Cabinet,2.0,2990.0
,Keyboard,2.0,2210.0
,Mouse,1.0,845.0
,Monitor,1.0,9750.0
,HDD,2.0,26000.0
,SSD,3.0,40950.0
,CPU,3.0,33150.0
,Graphic Card,4.0,36400.0
,Computer Case,3.0,6552.0
,Mouse,1.0,8502.0
,Cabinet,2.0,6968.0
,Monitor,3.0,32175.0
,RAM,3.0,10335.0
,Monitor,4.0,65260.0
,CPU,4.0,75400.0
,Keyboard,2.0,2080.0
,Mouse,3.0,2340.0
,Monitor,3.0,40950.0
,HDD,2.0,16900.0
,SSD,3.0,17550.0
,CPU,4.0,44200.0
,Graphic Card,1.0,16250.0
,NIC,4.0,18200.0
,Printer,4.0,23400.0
,Cabinet,3.0,8190.0
,Keyboard,2.0,2990.0
,Mouse,3.0,1365.0
,Monitor,1.0,12350.0
,HDD,2.0,26000.0
,SSD,2.0,16900.0
,CPU,4.0,44200.0
,Graphic Card,1.0,9100.0
,NIC,4.0,34060.0
,Printer,3.0,29835.0
,Cabinet,4.0,5980.0
,Keyboard,4.0,4420.0
,Mouse,4.0,3380.0
,Monitor,2.0,19500.0
,HDD,2.0,26000.0
,SSD,1.0,13650.0
,CPU,4.0,44200.0
,Graphic Card,3.0,27300.0
,NIC,2.0,4368.0
,Printer,3.0,25506.0
,Cabinet,2.0,6968.0
,Monitor,4.0,42900.0
,RAM,4.0,13780.0
,Monitor,2.0,32630.0
,CPU,1.0,18850.0
,Keyboard,2.0,2080.0
,Mouse,3.0,2340.0
,Monitor,1.0,13650.0
,HDD,2.0,16900.0
,SSD,4.0,23400.0
,CPU,1.0,11050.0
,Graphic Card,3.0,48750.0
,RAM,1.0,4550.0
,Motherboard,2.0,11700.0
,Cabinet,4.0,10920.0
,Keyboard,3.0,4485.0
,Mouse,4.0,1820.0
,Monitor,1.0,12350.0
,HDD,2.0,26000.0
,SSD,3.0,25350.0
,CPU,1.0,11050.0
,Graphic Card,3.0,27300.0
,RAM,3.0,25545.0
,Motherboard,4.0,39780.0
,Cabinet,4.0,5980.0
,Keyboard,3.0,3315.0
,Mouse,1.0,845.0
,Monitor,2.0,19500.0
,HDD,1.0,13000.0
,SSD,3.0,40950.0
,CPU,2.0,22100.0
,Graphic Card,2.0,18200.0
,RAM,2.0,4368.0
,Motherboard,4.0,34008.0
,Cabinet,4.0,13936.0
,Monitor,2.0,21450.0
,RAM,2.0,6890.0
,Monitor,2.0,32630.0
,CPU,3.0,56550.0
,Keyboard,1.0,1040.0
,Mouse,3.0,2340.0
,Monitor,2.0,27300.0
,HDD,2.0,16900.0
,SSD,2.0,11700.0
,CPU,3.0,33150.0
,Graphic Card,2.0,32500.0
,Computer Case,1.0,4550.0
,Mouse,1.0,5850.0
,Cabinet,3.0,8190.0
,Keyboard,4.0,5980.0
,Mouse,4.0,1820.0
2020-01-04,Monitor,3.0,37050.0
2020-02-04,HDD,1.0,13000.0
2020-03-04,SSD,4.0,33800.0
2020-03-04,CPU,2.0,22100.0
2020-03-04,Graphic Card,3.0,27300.0
2020-03-04,Computer Case,2.0,17030.0
2020-03-04,Mouse,4.0,39780.0
2020-03-04,Cabinet,4.0,5980.0
2020-03-04,Keyboard,1.0,1105.0
2020-03-04,Mouse,4.0,3380.0
2020-03-04,Monitor,2.0,19500.0
2020-03-04,HDD,2.0,26000.0
2020-03-04,SSD,3.0,40950.0
2020-03-04,CPU,3.0,33150.0
2020-03-04,Graphic Card,4.0,36400.0
2020-03-04,Computer Case,2.0,4368.0
2020-03-04,Mouse,1.0,8502.0
2020-03-04,Cabinet,4.0,13936.0
2020-03-04,Monitor,1.0,10725.0
2020-03-04,RAM,1.0,3445.0
2020-03-04,Monitor,1.0,16315.0
2020-03-04,CPU,2.0,37700.0
2020-03-04,Keyboard,3.0,3120.0
2020-03-04,Mouse,1.0,780.0
2020-03-04,Monitor,1.0,13650.0
2020-03-04,HDD,2.0,16900.0
2020-03-04,SSD,2.0,11700.0
2020-03-04,CPU,2.0,22100.0
2020-03-04,Graphic Card,1.0,16250.0
2020-03-04,NIC,2.0,9100.0
2020-03-04,Printer,1.0,5850.0
2020-03-04,Cabinet,2.0,5460.0
2020-03-04,Keyboard,1.0,1495.0
2020-03-04,Mouse,4.0,1820.0
2020-03-04,Monitor,1.0,12350.0
2020-03-04,HDD,2.0,26000.0
2020-03-04,SSD,1.0,8450.0
2020-03-04,CPU,4.0,44200.0
2020-03-04,Graphic Card,2.0,18200.0
2020-03-04,NIC,2.0,17030.0
2020-03-04,Printer,2.0,19890.0
2020-03-04,Cabinet,1.0,1495.0
2020-03-04,Keyboard,4.0,4420.0
2020-03-04,Mouse,1.0,845.0
2020-03-04,Monitor,3.0,29250.0
2020-03-04,HDD,3.0,39000.0
2020-03-04,SSD,4.0,54600.0
2020-03-04,CPU,1.0,11050.0
2020-03-04,Graphic Card,2.0,18200.0
2020-03-04,NIC,1.0,2184.0
2020-03-04,Printer,4.0,34008.0
2020-03-04,Cabinet,4.0,13936.0
2020-03-04,Monitor,1.0,10725.0
2020-03-04,RAM,1.0,3445.0
2020-03-04,Monitor,1.0,16315.0
2020-03-04,CPU,2.0,37700.0
2020-03-04,Keyboard,2.0,2080.0
2020-03-04,Mouse,4.0,3120.0
2020-03-04,Monitor,2.0,27300.0
2020-03-04,HDD,2.0,16900.0
2020-03-04,SSD,3.0,17550.0
2020-03-04,CPU,1.0,11050.0
2020-03-04,Graphic Card,1.0,16250.0
2020-03-04,RAM,3.0,13650.0
2020-03-04,Motherboard,1.0,5850.0
2020-03-04,Cabinet,1.0,2730.0
2020-03-04,Keyboard,4.0,5980.0
2020-03-04,Mouse,3.0,1365.0
2020-03-04,Monitor,1.0,12350.0
2020-03-04,HDD,3.0,39000.0
2020-03-04,SSD,2.0,16900.0
2020-03-04,CPU,2.0,22100.0
2020-03-04,Graphic Card,2.0,18200.0
2020-03-04,RAM,2.0,17030.0
2020-03-04,Motherboard,1.0,9945.0
2020-03-04,Cabinet,2.0,2990.0
2020-03-04,Keyboard,4.0,4420.0
2020-03-04,Mouse,4.0,3380.0
2020-03-04,Monitor,2.0,19500.0
2020-03-04,HDD,1.0,13000.0
2020-03-04,SSD,2.0,27300.0
2020-03-04,CPU,3.0,33150.0
2020-03-04,Graphic Card,4.0,36400.0
2020-03-04,RAM,3.0,6552.0
2020-03-04,Motherboard,4.0,34008.0
2020-03-04,Cabinet,3.0,10452.0
2020-03-04,Monitor,2.0,21450.0
2020-03-04,RAM,4.0,13780.0
2020-03-04,Monitor,1.0,16315.0
2020-03-04,CPU,2.0,37700.0
2020-03-04,Keyboard,4.0,4160.0
2020-03-04,Mouse,4.0,3120.0
2020-03-04,Monitor,2.0,27300.0
2020-03-04,HDD,3.0,25350.0
2020-03-04,SSD,2.0,11700.0
2020-03-04,CPU,4.0,44200.0
2020-03-04,Graphic Card,2.0,32500.0
2020-03-04,Computer Case,3.0,13650.0
2020-03-04,Mouse,1.0,5850.0
2020-03-04,Cabinet,2.0,5460.0
2020-03-04,Keyboard,3.0,4485.0
2020-03-04,Mouse,1.0,455.0
2020-03-04,Monitor,2.0,24700.0
2020-03-04,HDD,1.0,13000.0
2020-03-04,SSD,2.0,16900.0
2020-03-04,CPU,2.0,22100.0
2020-03-04,Graphic Card,4.0,36400.0
2020-03-04,Computer Case,3.0,25545.0
2020-03-04,Mouse,2.0,19890.0
2020-03-04,Cabinet,1.0,1495.0
2020-03-04,Keyboard,3.0,3315.0
2020-03-04,Mouse,3.0,2535.0
2020-03-04,Monitor,3.0,29250.0
2020-03-04,HDD,3.0,39000.0
2020-03-04,SSD,3.0,40950.0
2020-03-04,CPU,4.0,44200.0
2020-03-04,Graphic Card,2.0,18200.0
2020-03-04,Computer Case,4.0,8736.0
2020-03-04,Mouse,3.0,25506.0
2020-03-04,Cabinet,4.0,13936.0
2020-03-04,Monitor,3.0,32175.0
2020-03-04,RAM,4.0,13780.0
2020-03-04,Monitor,3.0,48945.0
2020-03-04,CPU,4.0,75400.0
2020-03-04,Keyboard,2.0,2080.0
2020-03-04,Mouse,3.0,2340.0
2020-03-04,Monitor,3.0,40950.0
2020-03-04,HDD,3.0,25350.0
2020-03-04,SSD,2.0,11700.0
2020-03-04,CPU,3.0,33150.0
2020-03-04,Graphic Card,2.0,32500.0
2020-03-04,NIC,4.0,18200.0
2020-03-04,Printer,1.0,5850.0
2020-03-04,Cabinet,1.0,2730.0
2020-03-04,Keyboard,3.0,4485.0
2020-03-04,Mouse,4.0,1820.0
2020-03-04,Monitor,1.0,12350.0
2020-03-04,HDD,2.0,26000.0
2020-03-04,SSD,3.0,25350.0
2020-03-04,CPU,1.0,11050.0
2020-03-04,Graphic Card,1.0,9100.0
2020-03-04,NIC,2.0,17030.0
2020-03-04,Printer,3.0,29835.0
2020-03-04,Cabinet,4.0,5980.0
2020-03-04,Keyboard,2.0,2210.0
2020-03-04,Mouse,4.0,3380.0
2020-03-04,Monitor,2.0,19500.0
2020-03-04,HDD,4.0,52000.0
2020-03-04,SSD,2.0,27300.0
2020-03-04,CPU,4.0,44200.0
2020-03-04,Graphic Card,4.0,36400.0
2020-03-04,NIC,2.0,4368.0
2020-03-04,Printer,2.0,17004.0
2020-03-04,Cabinet,1.0,3484.0
2020-03-04,Monitor,2.0,21450.0
2020-03-04,RAM,1.0,3445.0
2020-03-04,Monitor,3.0,48945.0
2020-03-04,CPU,4.0,75400.0
2020-03-04,Keyboard,1.0,1040.0
2020-03-04,Mouse,3.0,2340.0
2020-03-04,Monitor,2.0,27300.0
2020-03-04,HDD,2.0,16900.0
2020-03-04,SSD,3.0,17550.0
2020-03-04,CPU,3.0,33150.0
2020-03-04,Graphic Card,3.0,48750.0
2020-03-04,RAM,2.0,9100.0
2020-03-04,Motherboard,1.0,5850.0
2020-03-04,Cabinet,4.0,10920.0
2020-03-04,Keyboard,2.0,2990.0
2020-03-04,Mouse,2.0,910.0
2020-03-04,Monitor,4.0,49400.0
2020-03-04,HDD,3.0,39000.0
2020-03-04,SSD,4.0,33800.0
2020-03-04,CPU,3.0,33150.0
2020-03-04,Graphic Card,3.0,27300.0
2020-03-04,RAM,2.0,17030.0
2020-03-04,Motherboard,3.0,29835.0
2020-03-04,Cabinet,3.0,4485.0
2020-03-04,Keyboard,3.0,3315.0
2020-03-04,Mouse,3.0,2535.0
2020-03-04,Monitor,3.0,29250.0
2020-03-04,HDD,4.0,52000.0
2020-03-04,SSD,3.0,40950.0
2020-04-04,CPU,4.0,44200.0
2020-05-04,Graphic Card,2.0,18200.0
2020-06-04,RAM,2.0,4368.0
2020-07-04,Motherboard,3.0,25506.0
2020-08-04,Cabinet,3.0,10452.0
2020-09-04,Monitor,1.0,10725.0
2020-10-04,RAM,3.0,10335.0
2020-10-04,Monitor,3.0,48945.0
2020-10-04,CPU,4.0,75400.0
2020-10-04,Keyboard,3.0,3120.0
2020-10-04,Mouse,3.0,2340.0
2020-10-04,Monitor,4.0,54600.0
2020-10-04,HDD,1.0,8450.0
2020-10-04,SSD,2.0,11700.0
2020-10-04,CPU,3.0,33150.0
2020-10-04,Graphic Card,1.0,16250.0
2020-10-04,Computer Case,1.0,4550.0
2020-10-04,Mouse,2.0,11700.0
2020-10-04,Cabinet,1.0,2730.0
2020-10-04,Keyboard,4.0,5980.0
2020-10-04,Mouse,2.0,910.0
2020-10-04,Monitor,4.0,49400.0
2020-10-04,HDD,1.0,13000.0
2020-10-04,SSD,4.0,33800.0
2020-10-04,CPU,4.0,44200.0
2020-10-04,Graphic Card,4.0,36400.0
2020-10-04,Computer Case,1.0,8515.0
2020-10-04,Mouse,1.0,9945.0
2020-10-04,Cabinet,4.0,5980.0
2020-10-04,Keyboard,3.0,3315.0
2020-10-04,Mouse,1.0,845.0
2020-10-04,Monitor,4.0,39000.0
2020-10-04,HDD,3.0,39000.0
2020-10-04,SSD,3.0,40950.0
2020-11-04,CPU,1.0,11050.0
2020-12-04,Graphic Card,2.0,18200.0
,Computer Case,4.0,8736.0
,Mouse,3.0,25506.0
,Cabinet,2.0,6968.0
,Monitor,4.0,42900.0
,RAM,2.0,6890.0
,Monitor,4.0,65260.0
,CPU,2.0,37700.0
,Keyboard,1.0,1040.0
,Mouse,1.0,780.0
,Monitor,1.0,13650.0
,HDD,2.0,16900.0
,SSD,4.0,23400.0
,CPU,4.0,44200.0
,Graphic Card,2.0,32500.0
,NIC,3.0,13650.0
,Printer,2.0,11700.0
,Cabinet,2.0,5460.0
,Keyboard,1.0,1495.0
,Mouse,4.0,1820.0
,Monitor,2.0,24700.0
,HDD,3.0,39000.0
,SSD,4.0,33800.0
,CPU,3.0,33150.0
,Graphic Card,1.0,9100.0
,NIC,1.0,8515.0
,Printer,4.0,39780.0
,Cabinet,4.0,5980.0
,Keyboard,4.0,4420.0
,Mouse,3.0,2535.0
,Monitor,4.0,39000.0
,HDD,3.0,39000.0
,SSD,2.0,27300.0
,CPU,1.0,11050.0
,Graphic Card,1.0,9100.0
,NIC,4.0,8736.0
,Printer,3.0,25506.0
,Cabinet,1.0,3484.0
,Monitor,3.0,32175.0
,RAM,2.0,6890.0
,Monitor,4.0,65260.0
,CPU,3.0,56550.0
,Keyboard,1.0,1040.0
,Mouse,2.0,1560.0
,Monitor,4.0,54600.0
,HDD,2.0,16900.0
,SSD,2.0,11700.0
,CPU,3.0,33150.0
,Graphic Card,2.0,32500.0
,RAM,3.0,13650.0
,Motherboard,2.0,11700.0
,Cabinet,3.0,8190.0
,Keyboard,2.0,2990.0
,Mouse,4.0,1820.0
,Monitor,1.0,12350.0
,HDD,3.0,39000.0
,SSD,1.0,8450.0
,CPU,3.0,33150.0
,Graphic Card,3.0,27300.0
,RAM,1.0,8515.0
,Motherboard,3.0,29835.0
,Cabinet,1.0,1495.0
,Keyboard,4.0,4420.0
,Mouse,4.0,3380.0
,Monitor,4.0,39000.0
,HDD,3.0,39000.0
,SSD,3.0,40950.0
